annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,regroupement1,date_arrondie,besoin_marche_t,type_max,cyclone,nom,besoin_marche_kg,quotas_realise_kg,poids_enquete_t
2012,11,TOTAL FRUITS (HORS VANILLE),497317,241206.3400827,62864728,260.6263499477095,98.7450169215633,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-11-01,410,NA,NA,NA,410000,0,497.317
2012,10,TOTAL FRUITS (HORS VANILLE),514584.5,229928.15076,52714511,229.2651457673125,94.04430815141868,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-10-01,340,NA,NA,NA,340000,0,514.5845
2012,6,TOTAL FRUITS (HORS VANILLE),431650,242123.56771418,54702593.5,225.92841339829775,88.45468329974032,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-06-01,350,NA,NA,NA,350000,0,431.65
2013,9,TOTAL FRUITS (HORS VANILLE),347726,130192.49351890002,32414261.87498,248.97181856551833,100.22905478649676,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-09-01,350,NA,NA,NA,350000,0,347.726
2013,12,TOTAL FRUITS (HORS VANILLE),531070,263022,66090210,251.27255514747816,102.707473352807,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-12-01,460,NA,NA,NA,460000,0,531.07
2013,5,TOTAL FRUITS (HORS VANILLE),374722,189556.1768771,50685576,267.39079060906744,91.2645620998428,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-05-01,350,NA,NA,NA,350000,0,374.722
2013,8,TOTAL FRUITS (HORS VANILLE),306386,164862.77823890376,41528446.6563,251.8970449237538,105.64541633414736,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-08-01,390,NA,NA,NA,390000,0,306.386
2013,10,TOTAL FRUITS (HORS VANILLE),381737,181515,49170119,270.8873591714183,90.92556867891888,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-10-01,340,NA,NA,NA,340000,0,381.737
2013,2,TOTAL FRUITS (HORS VANILLE),304722,188042.079681,41748290.1035,222.01567954536029,91.98021487734876,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-02-01,390,NA,NA,NA,390000,0,304.722
2013,3,TOTAL FRUITS (HORS VANILLE),341853,159567.02546361188,39441793.8516,247.1801033891831,88.60534704237317,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-03-01,460,"Cyclone tropical
intense","Sandra
(Cyclone
tropical
intense)",Sandra,460000,0,341.853
2014,11,TOTAL FRUITS (HORS VANILLE),449033.5,147137,46979072,319.28795612252526,100.02565873394244,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-11-01,460,NA,NA,NA,460000,0,449.0335
2014,5,TOTAL FRUITS (HORS VANILLE),375894,174232,45868522,263.2611804949722,94.0819740870769,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-05-01,350,NA,NA,NA,350000,0,375.894
2014,1,TOTAL FRUITS (HORS VANILLE),426167,206305,52791967,255.8928140374688,91.60355552076668,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-01-01,415,NA,NA,NA,415000,0,426.167
2014,4,TOTAL FRUITS (HORS VANILLE),284930,155371,38525409,247.95752746651564,90.04418578451678,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-04-01,350,NA,NA,NA,350000,0,284.93
2015,12,TOTAL FRUITS (HORS VANILLE),718188,216192,64036703,296.2029261027235,104.19151121774046,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-12-01,445,NA,NA,NA,445000,0,718.188
2015,7,TOTAL FRUITS (HORS VANILLE),327978,152297,40041542,262.91747046888645,109.25381297020388,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-07-01,350,NA,NA,NA,350000,0,327.978
2015,9,TOTAL FRUITS (HORS VANILLE),300883,153748,42487548,276.3453703462809,113.45733138966013,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-09-01,350,NA,NA,NA,350000,0,300.883
2015,4,TOTAL FRUITS (HORS VANILLE),260967,168732,42257132,250.4393476044852,97.12538168826026,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-04-01,390,NA,NA,NA,390000,0,260.967
2015,1,TOTAL FRUITS (HORS VANILLE),421740,214483,52121512,243.0099914678553,94.95582379434737,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-01-01,420,NA,NA,NA,420000,0,421.74
2016,3,TOTAL FRUITS (HORS VANILLE),322778,169087,43541273,257.50810529490735,94.33056926242108,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-03-01,390,"Cyclone tropical
très intense","Winston
(Cyclone
tropical
très
intense)",Winston,390000,0,322.778
2016,10,TOTAL FRUITS (HORS VANILLE),302466,118877,36549708,307.4581962869184,108.01837028061458,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-10-01,340,NA,NA,NA,340000,0,302.466
2016,1,TOTAL FRUITS (HORS VANILLE),418072,290704,76785113,264.13504114150476,96.4699944078074,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-01-01,455,"Cyclone tropical
intense","Ula
(Cyclone
tropical
intense)",Ula,455000,0,418.072
2017,1,TOTAL FRUITS (HORS VANILLE),255646,218479,55817044,255.48013310203729,98.1046960153737,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-01-01,460,NA,NA,NA,460000,0,255.646
2017,4,TOTAL FRUITS (HORS VANILLE),255950,135895,38189258,281.0203318738732,96.22893241959488,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-04-01,350,NA,NA,NA,350000,0,255.95
2017,5,TOTAL FRUITS (HORS VANILLE),195637,172893,48095458,278.1804815695257,100.2893202835499,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-05-01,390,"Cyclone tropical
très intense","Donna
(Cyclone
tropical
très
intense)",Donna,390000,0,195.637
2017,9,TOTAL FRUITS (HORS VANILLE),256838,142708,41735207,292.4517686464669,106.93359133365811,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-09-01,340,NA,NA,NA,340000,0,256.838
2018,3,TOTAL FRUITS (HORS VANILLE),210222,113112.2,35312504,312.1900555377758,108.1087685261943,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-03-01,390,"Cyclone tropical
intense","Hola
(Cyclone
tropical
intense)",Hola,390000,0,210.222
2018,11,TOTAL FRUITS (HORS VANILLE),552945,100777,26318057,261.1514234398722,112.46295068828336,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-11-01,420,NA,NA,NA,420000,0,552.945
2018,12,TOTAL FRUITS (HORS VANILLE),749924,92047,27042033,293.7850554607972,96.64325771183518,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-12-01,410,NA,NA,NA,410000,0,749.924
2018,2,TOTAL FRUITS (HORS VANILLE),204916,107003.7,28274930,264.24254488396195,108.17656721037908,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-02-01,390,"Cyclone tropical
très intense","Gita
(Cyclone
tropical
très
intense)",Gita,390000,0,204.916
2019,6,TOTAL FRUITS (HORS VANILLE),365188,87313.6,29195118,334.37079676018396,120.5385272934036,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-06-01,350,NA,NA,NA,350000,0,365.188
2019,9,TOTAL FRUITS (HORS VANILLE),278066,49577.4,16216037,327.08526465687993,108.1087685261943,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-09-01,310,NA,NA,NA,310000,0,278.066
2019,3,TOTAL FRUITS (HORS VANILLE),238860,71842,21491648,299.1515826396815,100.43998402618276,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-03-01,390,NA,NA,NA,390000,0,238.86
2019,1,TOTAL FRUITS (HORS VANILLE),376099,148596,35597263,239.55734340089907,102.0144201366959,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-01-01,420,NA,NA,NA,420000,0,376.099
2019,8,TOTAL FRUITS (HORS VANILLE),317328,49892.2,16289464,326.49319933777224,126.1206189579503,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-08-01,350,NA,NA,NA,350000,0,317.328
2019,7,TOTAL FRUITS (HORS VANILLE),417860.5,77352,24449736,316.08408315234254,136.97594161464642,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-07-01,350,NA,NA,NA,350000,0,417.8605
2020,11,TOTAL FRUITS (HORS VANILLE),640450,145523.15,43209592,296.9258980444005,95.5401078485771,97.56977509480238,NA,NA,NA,0,Total fruits (hors vanille),2020-11-01,420,NA,NA,NA,420000,0,640.45
2020,4,TOTAL FRUITS (HORS VANILLE),399656,116584.3,36444063.9,312.59838503126065,89.09032559601133,100.23158019652864,NA,NA,NA,0,Total fruits (hors vanille),2020-04-01,390,"Cyclone tropical
très intense","Harold
(Cyclone
tropical
très
intense)",Harold,390000,0,399.656
2020,3,TOTAL FRUITS (HORS VANILLE),433814,120403.5,38623247,320.78176298861746,88.48468161841174,101.90330953954116,NA,NA,NA,0,Total fruits (hors vanille),2020-03-01,390,NA,NA,NA,390000,0,433.814
2021,9,TOTAL FRUITS (HORS VANILLE),288411,54657.7,18701004,342.1476571462027,106.98196207810402,111.39906320614128,2021-09-16,2021-10-15,338.80100000000004,0,Total fruits (hors vanille),2021-09-01,310,NA,NA,NA,310000,0,288.411
2021,4,TOTAL FRUITS (HORS VANILLE),270606,112268.16999999998,36114780,321.6831627343708,93.33702240826386,104.47124357348554,2021-04-16,2021-05-15,240.4,0,Total fruits (hors vanille),2021-04-01,390,NA,NA,NA,390000,0,270.606
2021,1,TOTAL FRUITS (HORS VANILLE),391686,140075,35334775,252.25611279671605,90.96249134068904,91.5058338530868,2021-01-16,2021-02-15,267.15,127.278,Total fruits (hors vanille),2021-01-01,420,NA,NA,NA,420000,127278,391.686
2021,8,TOTAL FRUITS (HORS VANILLE),214520,86082.09999999999,28113058,326.58424922254454,104.75076112106288,107.72467137858337,2021-08-16,2021-09-15,247.95,0,Total fruits (hors vanille),2021-08-01,350,NA,NA,NA,350000,0,214.52
2022,4,TOTAL FRUITS (HORS VANILLE),242598,82247.3,29246298,355.58976404088645,105.84870275202248,115.95716814325678,2022-04-16,2022-05-15,234,43.419,Total fruits (hors vanille),2022-04-01,469,NA,NA,NA,469000,43419,242.598
2022,7,TOTAL FRUITS (HORS VANILLE),214410,53125.8,20014853,376.744500788694,104.42153669423186,125.89790069322542,2022-07-16,2022-08-15,238.501,90.404,Total fruits (hors vanille),2022-07-01,469,NA,NA,NA,469000,90404,214.41
2022,8,TOTAL FRUITS (HORS VANILLE),200046,49616.810000000005,19155913,386.077077506595,104.55775284701218,127.59292216291784,2022-08-16,2022-09-15,388.16,171.465,Total fruits (hors vanille),2022-08-01,469,NA,NA,NA,469000,171465,200.046
2022,12,TOTAL FRUITS (HORS VANILLE),290039.5,123519.15,42349154,342.8549662137409,102.70841308375412,111.22308189107429,2022-12-16,2023-01-15,378.014,101.16299999999998,Total fruits (hors vanille),2022-12-01,469,NA,NA,NA,469000,101162.99999999999,290.0395
2022,3,TOTAL FRUITS (HORS VANILLE),169908,99471.68,35889911,360.8053166489196,105.94682099756676,116.43740754031984,2022-03-16,2022-04-15,342.402,91.487,Total fruits (hors vanille),2022-03-01,469,NA,NA,NA,469000,91487,169.908
2023,2,TOTAL FRUITS (HORS VANILLE),201867,87850.30000000002,31455900,358.06252226799444,104.77276184350328,118.3640046867738,2023-02-16,2023-03-15,360.00999999999993,121.755,Total fruits (hors vanille),2023-02-01,469,NA,NA,NA,469000,121755,201.867
2023,5,TOTAL FRUITS (HORS VANILLE),183015,89490.6,30067462,335.98458385573457,102.2212729588835,110.11762151583666,2023-05-16,2023-06-15,232.925,144.757,Total fruits (hors vanille),2023-05-01,469,NA,NA,NA,469000,144757,183.015
2012,10,TOTAL LEGUMES,884585.7,588545.21060151,134978799,229.34312703360175,84.37345237476366,NA,NA,NA,NA,0,Total legumes,2012-10-01,737,NA,NA,NA,737000,0,884.5857
2012,11,TOTAL LEGUMES,671057.45,598292.7663906609,131240828,219.35887473910233,81.8790784851129,NA,NA,NA,NA,0,Total legumes,2012-11-01,737,NA,NA,NA,737000,0,671.0574499999999
2013,4,TOTAL LEGUMES,572904.95,246243.37073462593,75751967.59961,307.63048513191103,98.72028743134548,NA,NA,NA,NA,0,Total legumes,2013-04-01,459,NA,NA,NA,459000,0,572.90495
2013,12,TOTAL LEGUMES,718428,363774,115086108,316.3670520707912,90.99442467917218,NA,NA,NA,NA,0,Total legumes,2013-12-01,729,NA,NA,NA,729000,0,718.428
2013,2,TOTAL LEGUMES,480959.7,252119.1900177883,85955224.537598,340.9309086370356,96.23428392387476,NA,NA,NA,NA,0,Total legumes,2013-02-01,614,NA,NA,NA,614000,0,480.9597
2013,9,TOTAL LEGUMES,831748.5,296465.6296651011,95404435.9766,321.80605921965554,88.50005078952144,NA,NA,NA,NA,0,Total legumes,2013-09-01,737,NA,NA,NA,737000,0,831.7485
2014,4,TOTAL LEGUMES,546895.2,230801,78901655,341.8601089250047,89.68027467690652,NA,NA,NA,NA,0,Total legumes,2014-04-01,459,NA,NA,NA,459000,0,546.8951999999999
2014,12,TOTAL LEGUMES,583132.6,341635,99432540,291.04904356989186,89.33708900752505,NA,NA,NA,NA,0,Total legumes,2014-12-01,724,NA,NA,NA,724000,0,583.1326
2014,3,TOTAL LEGUMES,394908,167874,70747686,421.4332535115622,95.12939347611,NA,NA,NA,NA,0,Total legumes,2014-03-01,569,NA,NA,NA,569000,0,394.908
2014,7,TOTAL LEGUMES,959646.2,407514,110953288,272.26865334687886,92.46761194285854,NA,NA,NA,NA,0,Total legumes,2014-07-01,737,NA,NA,NA,737000,0,959.6461999999999
2014,10,TOTAL LEGUMES,1001711.1,579127,148500607,256.4214878601758,91.24553614457328,NA,NA,NA,NA,0,Total legumes,2014-10-01,737,NA,NA,NA,737000,0,1001.7111
2014,8,TOTAL LEGUMES,988551.55,510032,128115186,251.19048608714743,86.96827085057484,NA,NA,NA,NA,0,Total legumes,2014-08-01,737,NA,NA,NA,737000,0,988.55155
2014,11,TOTAL LEGUMES,869370.65,425016,108939884,256.3194891486438,88.03967976961945,NA,NA,NA,NA,0,Total legumes,2014-11-01,732,NA,NA,NA,732000,0,869.3706500000001
2014,2,TOTAL LEGUMES,325222.2,146957,55037993,374.51766843362344,101.00540176649534,NA,NA,NA,NA,0,Total legumes,2014-02-01,574,NA,NA,NA,574000,0,325.2222
2014,9,TOTAL LEGUMES,984491.1,481134,124130857,257.99643550445404,88.51679155388152,NA,NA,NA,NA,0,Total legumes,2014-09-01,737,NA,NA,NA,737000,0,984.4911
2015,10,TOTAL LEGUMES,1130653.9,550217,119949231,218.0034986196355,83.61174759638037,NA,NA,NA,NA,0,Total legumes,2015-10-01,737,NA,NA,NA,737000,0,1130.6538999999998
2015,11,TOTAL LEGUMES,1070139.0499999998,419379,89151403,212.57955930077568,79.67766797176341,NA,NA,NA,NA,0,Total legumes,2015-11-01,729,NA,NA,NA,729000,0,1070.1390499999998
2015,1,TOTAL LEGUMES,501171.00000000006,336237,102521096,304.9072410234448,91.48827722779431,NA,NA,NA,NA,0,Total legumes,2015-01-01,724,NA,NA,NA,724000,0,501.17100000000005
2015,12,TOTAL LEGUMES,825200.8300000001,387185,89279156,230.58526544158477,83.14300619429835,NA,NA,NA,NA,0,Total legumes,2015-12-01,724,NA,NA,NA,724000,0,825.2008300000001
2015,3,TOTAL LEGUMES,299623.05,162008,70511370,435.23387733939063,114.5654208981538,NA,NA,NA,NA,0,Total legumes,2015-03-01,459,"Cyclone tropical
très intense","Marcia
(Cyclone
tropical
très
intense)",Marcia,459000,0,299.62305
2015,3,TOTAL LEGUMES,299623.05,162008,70511370,435.23387733939063,114.5654208981538,NA,NA,NA,NA,0,Total legumes,2015-03-01,459,"Cyclone tropical
très intense","Pam
(Cyclone
tropical
très
intense)",Pam,459000,0,299.62305
2015,6,TOTAL LEGUMES,657770.95,266890,86948595,325.7843868260332,90.76842436031122,NA,NA,NA,NA,0,Total legumes,2015-06-01,582,NA,NA,NA,582000,0,657.77095
2016,8,TOTAL LEGUMES,1126456.7000000002,355138,104809236,295.1225608073481,91.6222033426749,NA,NA,NA,NA,0,Total legumes,2016-08-01,737,NA,NA,NA,737000,0,1126.4567000000002
2016,3,TOTAL LEGUMES,416336.05,179967,65050285,361.4567392910923,104.85577756931194,NA,NA,NA,NA,0,Total legumes,2016-03-01,574,"Cyclone tropical
très intense","Winston
(Cyclone
tropical
très
intense)",Winston,574000,0,416.33605
2016,12,TOTAL LEGUMES,728985.0999999999,411496,125658401,305.3696779555573,101.67503234089824,NA,NA,NA,NA,0,Total legumes,2016-12-01,732,NA,NA,NA,732000,0,728.9850999999999
2016,9,TOTAL LEGUMES,1044551.8000000002,456999,121181914,265.16888220761973,89.46264474022558,NA,NA,NA,NA,0,Total legumes,2016-09-01,737,NA,NA,NA,737000,0,1044.5518000000002
2016,7,TOTAL LEGUMES,913005.75,316278,103239138,326.41896685827027,96.36821003875536,NA,NA,NA,NA,0,Total legumes,2016-07-01,732,NA,NA,NA,732000,0,913.00575
2016,1,TOTAL LEGUMES,673315.2000000001,434401,127738634,294.0569519867588,92.47598232503856,NA,NA,NA,NA,0,Total legumes,2016-01-01,724,"Cyclone tropical
intense","Ula
(Cyclone
tropical
intense)",Ula,724000,0,673.3152000000001
2017,2,TOTAL LEGUMES,415807.1999999999,153768.4,56787588,369.3059692368523,98.8625839284061,NA,NA,NA,NA,0,Total legumes,2017-02-01,724,NA,NA,NA,724000,0,415.8071999999999
2017,11,TOTAL LEGUMES,921913.5,425056,113294452,266.54006060377924,93.82361385602438,NA,NA,NA,NA,0,Total legumes,2017-11-01,737,NA,NA,NA,737000,0,921.9135
2017,9,TOTAL LEGUMES,1088600.8,547926,142379207,259.8511605581776,93.07864984200116,NA,NA,NA,NA,0,Total legumes,2017-09-01,737,NA,NA,NA,737000,0,1088.6008
2017,10,TOTAL LEGUMES,1145306.2999999998,360249,86935630,241.32094745578752,91.3710918772738,NA,NA,NA,NA,0,Total legumes,2017-10-01,737,NA,NA,NA,737000,0,1145.3062999999997
2017,5,TOTAL LEGUMES,349291.19999999995,189181,80206477,423.9668729946453,104.91437024457218,NA,NA,NA,NA,0,Total legumes,2017-05-01,459,"Cyclone tropical
très intense","Donna
(Cyclone
tropical
très
intense)",Donna,459000,0,349.29119999999995
2017,12,TOTAL LEGUMES,1076873.2999999998,479934,146630903,305.5230573370505,101.7168842517984,NA,NA,NA,NA,0,Total legumes,2017-12-01,732,NA,NA,NA,732000,0,1076.8732999999997
2018,6,TOTAL LEGUMES,679607,208253.04999999996,68717711,329.97217087576877,94.8699116285289,NA,NA,NA,NA,0,Total legumes,2018-06-01,737,NA,NA,NA,737000,0,679.607
2019,3,TOTAL LEGUMES,386408.1,96421.40000000002,43861529.3,454.89413449711367,103.76762788590725,NA,NA,NA,NA,0,Total legumes,2019-03-01,577,NA,NA,NA,577000,0,386.4081
2019,1,TOTAL LEGUMES,740737.0000000001,283602,87632917,308.99964386710957,94.76109666018844,NA,NA,NA,NA,0,Total legumes,2019-01-01,724,NA,NA,NA,724000,0,740.7370000000001
2019,12,TOTAL LEGUMES,1073389,163631.1,52191972,318.96119991859734,90.00671958192794,NA,NA,NA,NA,0,Total legumes,2019-12-01,724,NA,NA,NA,724000,0,1073.389
2019,5,TOTAL LEGUMES,551372,133832.6,52482610,392.1511649627968,94.25887372938628,NA,NA,NA,NA,0,Total legumes,2019-05-01,464,NA,NA,NA,464000,0,551.372
2019,10,TOTAL LEGUMES,1198290.5,179672.4,43871807,244.17666263711067,87.40353072393671,NA,NA,NA,NA,0,Total legumes,2019-10-01,737,NA,NA,NA,737000,0,1198.2905
2019,9,TOTAL LEGUMES,1084689.8,191242.15,49170840,257.1129847682637,91.10323964751268,NA,NA,NA,NA,0,Total legumes,2019-09-01,737,NA,NA,NA,737000,0,1084.6898
2019,4,TOTAL LEGUMES,490394.4,145709.19999999998,60309629.4,413.90405959266815,99.2559918908678,NA,NA,NA,NA,0,Total legumes,2019-04-01,472,NA,NA,NA,472000,0,490.3944
2020,7,TOTAL LEGUMES,872081,158806.98,56611436,356.4795199807968,97.19201750064552,99.0677404660427,NA,NA,NA,0,Total legumes,2020-07-01,737,NA,NA,NA,737000,0,872.081
2020,8,TOTAL LEGUMES,1080901.85,233771.8,75591965,323.35792854399034,93.64815457443493,91.62780166535184,NA,NA,NA,0,Total legumes,2020-08-01,737,NA,NA,NA,737000,0,1080.9018500000002
2020,5,TOTAL LEGUMES,619415.1,71277.84999999999,26630081.25,373.6094908867201,99.68873361555748,101.68285403248107,NA,NA,NA,0,Total legumes,2020-05-01,569,NA,NA,NA,569000,0,619.4150999999999
2021,5,TOTAL LEGUMES,464389,110808.40000000002,55816475,503.7206114337901,125.580229054686,129.3053450566094,2021-05-17,2021-06-16,886.1699999999998,0,Total legumes,2021-05-01,562,NA,NA,NA,562000,0,464.389
